"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"39063_at",3.61210417731276,10.9626105903921,26.0118273715143,2.65942869628415e-19,1.90542327119568e-15,31.7609258550656
"32729_at",5.7712017247652,7.6432598751226,25.8724276744109,3.01849231080504e-19,1.90542327119568e-15,31.6670809070512
"34730_g_at",1.20348135156104,7.40292356395373,15.4107389891016,4.4865475326952e-14,1.88808875334256e-10,21.7896389854341
"40567_at",2.52615851008992,8.62812034585469,13.3702822964961,1.00627130366964e-12,3.1760438022073e-09,18.9459142774786
"40488_at",-2.77162080697661,7.72363516568745,-13.1513580091385,1.43576918686172e-12,3.62531719682585e-09,18.6159795322683
"36861_at",2.08039718957652,8.38053281808569,12.0500250936192,9.21384443321057e-12,1.93874643282139e-08,16.8759375258201
"37628_at",-1.25805433038565,7.89950676860212,-11.8743008295221,1.25380795385776e-11,2.26133220249346e-08,16.5853937873519
"37765_at",-1.1355214985926,8.58145217269113,-11.7173998866081,1.65537526818422e-11,2.61238909510322e-08,16.3228523684108
"31855_at",1.00223986271347,7.65751105700021,11.4201584480079,2.8227396530583e-11,3.95967645776233e-08,15.817274894976
"719_g_at",1.73322287633771,8.35775617092781,11.353216515138,3.18751166162422e-11,4.02423347280058e-08,15.7019116259887
"41385_at",1.33461721169286,7.0948808284078,11.2177150259272,4.08276533907792e-11,4.68590112780534e-08,15.466686050823
"38038_at",2.33396047077007,7.09799997824317,11.1317037932454,4.78254298787384e-11,5.03163376849227e-08,15.3161765770662
"38291_at",2.38537137404706,6.3332925711048,10.9621786560076,6.54852889240176e-11,6.35962902050556e-08,15.0167795641962
"39409_at",1.32873299358979,8.43851982622731,10.9168034291947,7.12719127628384e-11,6.42719927593453e-08,14.93601965921
"34860_g_at",1.35339084229518,9.47891794113098,10.722888308122,1.0262367515294e-10,8.63749265870575e-08,14.5878912962752
"38126_at",1.81829286809834,9.49355399569551,10.5422902150589,1.44686153981263e-10,1.1416641837584e-07,14.2592647405917
"33442_at",2.5941436015656,5.78655055153121,10.3700239759587,2.01509230644315e-10,1.49650237463793e-07,13.941791429528
"36079_at",0.666214559867465,5.39480974496245,10.3040762125355,2.28971501810362e-10,1.59594656995362e-07,13.8192097101983
"32306_g_at",2.65113764349958,9.22470907157658,10.2794728135825,2.40182058052426e-10,1.59594656995362e-07,13.7733286294815
"943_at",1.25929519052418,6.00290167177022,10.2219237154868,2.68671969000557e-10,1.69599180431602e-07,13.6656923259868
